image,id,pixel_count,image_fraction
semantic_instance_0.png,0,103725,0.39567947
semantic_instance_0.png,1,73879,0.28182602
semantic_instance_0.png,2,11250,0.04291534
semantic_instance_0.png,3,185,0.00070572
semantic_instance_0.png,4,47599,0.18157578
semantic_instance_0.png,5,7653,0.02919388
semantic_instance_0.png,6,17853,0.06810379
semantic_instance_1.png,0,103922,0.39643097
semantic_instance_1.png,1,75318,0.28731537
semantic_instance_1.png,2,10733,0.04094315
semantic_instance_1.png,3,172,0.00065613
semantic_instance_1.png,4,46649,0.17795181
semantic_instance_1.png,5,7941,0.03029251
semantic_instance_1.png,6,17409,0.06641006
semantic_instance_2.png,0,104235,0.39762497
semantic_instance_2.png,1,76758,0.29280853
semantic_instance_2.png,2,10214,0.03896332
semantic_instance_2.png,3,152,0.00057983
semantic_instance_2.png,4,45698,0.17432404
semantic_instance_2.png,5,8122,0.03098297
semantic_instance_2.png,6,16965,0.06471634
semantic_instance_3.png,0,104630,0.39913177
semantic_instance_3.png,1,78190,0.29827118
semantic_instance_3.png,2,9718,0.03707123
semantic_instance_3.png,3,130,0.00049591
semantic_instance_3.png,4,44730,0.17063141
semantic_instance_3.png,5,8190,0.03124237
semantic_instance_3.png,6,16556,0.06315613
semantic_instance_4.png,0,105080,0.40084839
semantic_instance_4.png,1,79640,0.30380249
semantic_instance_4.png,2,9207,0.03512192
semantic_instance_4.png,3,104,0.00039673
semantic_instance_4.png,4,43745,0.16687393
semantic_instance_4.png,5,8202,0.03128815
semantic_instance_4.png,6,16166,0.06166840
semantic_instance_5.png,0,105588,0.40278625
semantic_instance_5.png,1,81089,0.30932999
semantic_instance_5.png,2,8724,0.03327942
semantic_instance_5.png,3,68,0.00025940
semantic_instance_5.png,4,42750,0.16307831
semantic_instance_5.png,5,8145,0.03107071
semantic_instance_5.png,6,15780,0.06019592
semantic_instance_6.png,0,106109,0.40477371
semantic_instance_6.png,1,82528,0.31481934
semantic_instance_6.png,2,8256,0.03149414
semantic_instance_6.png,3,69,0.00026321
semantic_instance_6.png,4,41741,0.15922928
semantic_instance_6.png,5,8011,0.03055954
semantic_instance_6.png,6,15430,0.05886078
semantic_instance_7.png,0,106489,0.40622330
semantic_instance_7.png,1,84003,0.32044601
semantic_instance_7.png,2,7788,0.02970886
semantic_instance_7.png,3,206,0.00078583
semantic_instance_7.png,4,40735,0.15539169
semantic_instance_7.png,5,7849,0.02994156
semantic_instance_7.png,6,15074,0.05750275
semantic_instance_8.png,0,106771,0.40729904
semantic_instance_8.png,1,85508,0.32618713
semantic_instance_8.png,2,7357,0.02806473
semantic_instance_8.png,3,466,0.00177765
semantic_instance_8.png,4,39704,0.15145874
semantic_instance_8.png,5,7603,0.02900314
semantic_instance_8.png,6,14735,0.05620956
semantic_instance_9.png,0,107044,0.40834045
semantic_instance_9.png,1,86821,0.33119583
semantic_instance_9.png,2,6780,0.02586365
semantic_instance_9.png,3,812,0.00309753
semantic_instance_9.png,4,38973,0.14867020
semantic_instance_9.png,5,7325,0.02794266
semantic_instance_9.png,6,14389,0.05488968
semantic_instance_10.png,0,107299,0.40931320
semantic_instance_10.png,1,87907,0.33533859
semantic_instance_10.png,2,6131,0.02338791
semantic_instance_10.png,3,1228,0.00468445
semantic_instance_10.png,4,38499,0.14686203
semantic_instance_10.png,5,7016,0.02676392
semantic_instance_10.png,6,14064,0.05364990
semantic_instance_11.png,0,107575,0.41036606
semantic_instance_11.png,1,88891,0.33909225
semantic_instance_11.png,2,5528,0.02108765
semantic_instance_11.png,3,1737,0.00662613
semantic_instance_11.png,4,38017,0.14502335
semantic_instance_11.png,5,6649,0.02536392
semantic_instance_11.png,6,13747,0.05244064
semantic_instance_12.png,0,107851,0.41141891
semantic_instance_12.png,1,89720,0.34225464
semantic_instance_12.png,2,4981,0.01900101
semantic_instance_12.png,3,2329,0.00888443
